,deg,slope,intercept,median
0,0,-285.7142857142863,192.85714285714315,6.482663817272606e-06
1,1,-285.7142857142863,192.85714285714315,2.091225846830824e-06
2,2,-174.34586466165428,137.17293233082708,0.16967766908639173
3,3,-158.19548872180457,129.09774436090225,0.21264327460753696
4,4,-231.96992481203023,165.98496240601506,0.08161946470482258
5,5,-223.81954887218058,161.90977443609026,0.09034262481852603
6,6,-212.99248120300763,156.4962406015038,0.11686196441107213
7,7,-38.85714285714285,69.4285714285714,0.42436376846083884
8,8,-20.601503759398515,60.30075187969924,0.45764425719214763
9,9,-19.18796992481202,59.593984962406,0.4493826104331144
10,10,85.83458646616542,7.08270676691731,0.6739506132034302
11,11,122.73684210526314,-11.36842105263157,0.7495346932794567
12,12,135.60902255639098,-17.804511278195463,0.7785185786285307
13,13,153.3533834586466,-26.676691729323274,0.8085562994806865
