,deg,slope,intercept,median
0,0,-285.7142857142863,192.85714285714315,1.3879340589605792e-07
1,1,-285.7142857142863,192.85714285714315,1.4088703667427438e-06
2,2,-211.69924812030092,155.8496240601504,0.09458081511200894
3,3,-38.82706766917294,69.41353383458645,0.43981065527575086
4,4,-120.66165413533838,110.33082706766918,0.25975138972608486
5,5,-116.87218045112785,108.43609022556389,0.2674829812244492
6,6,-53.413533834586474,76.70676691729322,0.3890518025332893
7,7,25.233082706766922,37.38345864661653,0.5516912138530016
8,8,30.285714285714302,34.85714285714285,0.5689381341931954
9,9,42.73684210526316,28.631578947368418,0.5760521937539137
10,10,48.781954887218035,25.609022556390983,0.6136055601436851
11,11,54.43609022556391,22.78195488721805,0.6269334450171138
12,12,61.593984962406005,19.203007518796987,0.6377834855490203
13,13,65.86466165413535,17.067669172932334,0.637557840329201
14,14,77.74436090225564,11.127819548872191,0.6779242702937882
